ratingId;moduleId;score;grade;voteScore;ups;downs
5cd5ad7904ccf3001c546591;50873015;5;5.50;0;0;0
5afd4ff67e4dd8001a20a96f;50873015;5;5.25;0;0;0
5d1cb3fc8a3f6d001ca3873b;50888000;5;6.00;0;0;0
5d1c88b98a3f6d001ca34beb;50888000;2;5.25;0;0;0
5cf9808e213363001ca9bfbb;50888000;4;5.00;0;0;0
5cc85173d996af001c716a60;50888000;4;5.00;0;0;0
5b183e22881910001a32012c;50888000;5;5.25;0;0;0
5d44af9cd63a3f001cfe5de5;50820164;5;4.75;-1;0;1
5d133ced994651001c0310c9;50820164;4;6.00;1;1;0
5d0cc9f3a2f002001c66c194;50820164;4;6.00;-7;0;7
5d0a6b1dc4518e001c9122bf;50820164;5;4.75;0;1;1
5d07363f01e578001cc9e326;50820164;5;5.00;0;0;0
5d03ac10452355001c7f4011;50820164;5;6.00;0;3;3
5d039cce452355001c7f233e;50820164;5;4.50;0;0;0
5d0361ea452355001c7eafab;50820164;5;5.50;1;1;0
5d0270f714b0c6001c9eff98;50820164;3;5.75;-2;2;4
5d02570f14b0c6001c9ed9a5;50820164;4;4.75;1;7;6
5d0256f614b0c6001c9ed960;50820164;5;5.50;3;4;1
5c52c69d98a84a001c652d5e;50820164;3;4.25;1;7;6
5c4f0d3bdd45db001c8678cd;50820164;5;4.75;0;1;1
5c19006965b1ae001b98d626;50820164;5;5.50;2;3;1
5b7f2b5affbde0001a9ea8f2;50820164;4;5.00;0;3;3
5b64969c319e43001a091b2f;50820164;5;6.00;6;8;2
5b548a815a7ff3001a4649db;50820164;4;5.75;0;1;1
5b2be332629cb1001a766101;50820164;5;4.25;1;3;2
5b2b4f219d2efb001abab3ea;50820164;5;5.50;9;10;1
5b2a65249d2efb001ab9fb2d;50820164;5;4.50;0;1;1
5add7d0ae31a1a001a75a919;50820164;5;5.00;1;3;2
5a6a5b9a1053f0001a854a5f;50820164;5;4.75;0;3;3
5a623a71f92ac7001a6ecb50;50820164;4;4.50;0;5;5
5d8c5d41dbfbcd001c15ce7d;50820164;3;5.00;0;0;0
5d89c244751ee4001cc01995;50820164;5;5.50;0;0;0
5d646fe1fe61d7001cf7ac06;50820164;5;4.50;0;0;0
5d518b911aab2c001cb0b5d8;50820164;4;4.75;0;0;0
5d3e207de9a806001ce5a08e;50820164;5;5.25;0;0;0
5d3b7e8789f9e5001c93aaea;50820164;4;4.50;0;0;0
